"vehicleid","Brand","Model","Year","N_view","N_offer","Seller_Type","Ask_Price","Sale_Price","Target"
544928,"Renault","Clio",2022,202,15,"RAC",7e+05,699500,4
544930,"Renault","Taliant",2022,29,3,"RAC",698000,697500,1
544935,"Peugeot","408",2023,128,42,"RAC",1372000,1365500,2
544939,"Citroen","C-Elysee",2022,30,5,"RAC",675000,675000,1
544940,"Renault","Clio",2022,43,31,"RAC",745000,758000,1
544944,"Renault","Taliant",2022,20,3,"RAC",698000,698000,1
544947,"Opel","Corsa",2023,24,26,"RAC",850000,864000,1
544953,"Citroen","C3 AirCross",2022,30,57,"RAC",9e+05,937000,1
544967,"Opel","Crossland",2021,0,0,"Satın Alma",1073000,1073000,1
545019,"Opel","Corsa",2015,41,2,"RAC",583000,578500,1
545050,"Peugeot","2008",2020,121,9,"RAC",1105000,1105000,1
545059,"Citroen","C4",2022,92,55,"RAC",1140000,1175000,1
545061,"Citroen","C-Elysee",2021,29,38,"RAC",590000,592500,1
545070,"Peugeot","2008",2021,49,19,"RAC",1010000,1004500,1
545071,"Peugeot","2008",2021,33,7,"RAC",1010000,1e+06,1
545073,"Peugeot","2008",2021,48,13,"RAC",1080000,1081000,2
545075,"Peugeot","2008",2021,38,4,"RAC",1100000,1071500,1
545109,"Renault","Clio",2022,34,16,"RAC",745000,749000,1
545115,"Renault","Clio",2022,45,3,"RAC",750000,730100,1
545117,"Renault","Clio",2022,37,10,"RAC",750000,747000,1
545124,"Renault","Clio",2023,144,66,"RAC",903000,0,2
545144,"Renault","Taliant",2022,16,20,"RAC",695000,698500,1
545154,"Opel","Corsa",2023,51,2,"RAC",850000,841500,1
545157,"Renault","Taliant",2022,41,15,"RAC",698000,697500,2
545160,"Citroen","C-Elysee",2022,30,12,"FILO",650000,648000,2
545161,"Citroen","C-Elysee",2022,17,9,"RAC",650000,646000,2
545162,"Citroen","C-Elysee",2022,20,1,"RAC",630000,623000,2
545166,"Renault","Clio",2021,44,46,"RAC",7e+05,7e+05,1
545167,"Renault","Clio",2021,59,14,"RAC",7e+05,7e+05,1
545169,"Citroen","C-Elysee",2021,21,17,"RAC",590000,580000,1
545175,"Peugeot","2008",2021,48,10,"RAC",1050000,1032000,1
545178,"Peugeot","2008",2021,21,11,"RAC",1050000,1024000,1
545193,"Renault","Clio",2019,191,0,"RAC",533000,0,4
545194,"Renault","Clio",2019,22,2,"RAC",560000,553700,1
545226,"Renault","Megane",2020,44,8,"RAC",930000,920000,1
545231,"Peugeot","508",2020,51,1,"RAC",950000,935500,1
545232,"Peugeot","508",2018,39,6,"RAC",750000,748000,1
545233,"Peugeot","508",2017,27,60,"RAC",680000,7e+05,1
545234,"Peugeot","508",2018,26,46,"RAC",750000,766000,1
545247,"Opel","Mokka",2022,0,0,"Satın Alma",1180000,1180000,1
545251,"Renault","Clio",2020,32,4,"FILO",720000,706000,1
545252,"Renault","Megane",2021,78,8,"FILO",710000,697300,3
545261,"Peugeot","301",2018,49,3,"YETKILI SATICI",475000,473300,1
545262,"Renault","Fluence",2014,141,27,"YETKILI SATICI",450000,448500,3
545305,"Renault","Clio",2016,189,2,"FILO",710000,0,3
545410,"Opel","Corsa",2020,31,4,"RAC",616000,616000,1
545558,"Renault","Megane",2018,24,10,"FILO",750000,750500,1
545566,"Opel","Mokka-e",2023,0,0,"Satın Alma",1163030,1163030,1
545579,"Renault","Clio",2022,27,15,"RAC",745000,752000,1
545582,"Peugeot","3008",2023,52,35,"RAC",1500000,1550000,1
545585,"Peugeot","3008",2023,115,82,"RAC",1500000,1571000,1
545588,"Opel","Crossland",2022,62,41,"RAC",980000,996000,1
545593,"Peugeot","3008",2023,48,39,"RAC",1500000,1539000,1
545595,"Citroen","C3 AirCross",2022,60,54,"RAC",970000,990000,1
545598,"Renault","Clio",2023,22,7,"RAC",705000,705000,1
545599,"Opel","Corsa",2022,54,11,"RAC",850000,852000,1
545600,"Opel","Corsa",2022,41,14,"RAC",850000,862000,1
545601,"Opel","Corsa",2022,26,33,"RAC",850000,850500,1
545603,"Citroen","C3 AirCross",2022,26,8,"RAC",975000,974000,1
545607,"Peugeot","2008",2022,137,1,"RAC",1210000,1190000,3
545608,"Peugeot","2008",2023,63,112,"RAC",1175000,1225500,1
545613,"Renault","Taliant",2022,46,4,"RAC",7e+05,692500,1
545620,"Opel","Corsa",2023,85,2,"RAC",890000,0,2
545623,"Renault","Clio",2023,21,0,"RAC",730000,717000,1
545624,"Renault","Clio",2023,29,23,"RAC",730000,725000,1
545629,"Opel","Corsa",2023,38,5,"RAC",890000,883000,1
545632,"Peugeot","408",2023,78,5,"RAC",1440000,1427500,2
545639,"Peugeot","208",2015,23,0,"Satın Alma",585000,585000,2
545805,"Peugeot","Expert Traveller",2023,0,0,"Satın Alma",1300000,1300000,1
545814,"Opel","Mokka",2021,0,0,"Satın Alma",1050000,1050000,1
545827,"Opel","Corsa",2015,124,6,"Satın Alma",525000,0,4
545939,"Opel","Corsa",2020,571,7,"RAC",598000,0,4
545945,"Renault","Clio",2020,42,9,"RAC",675000,655000,1
545948,"Renault","Clio",2020,14,3,"RAC",665000,640000,1
545950,"Renault","Clio",2020,15,4,"RAC",675000,605000,1
545968,"Renault","Clio",2022,0,0,"Satın Alma",776000,760000,1
545969,"Renault","Clio",2022,0,0,"Satın Alma",775000,775000,1
546029,"Renault","Megane",2022,0,0,"Satın Alma",951000,951000,1
546030,"Peugeot","2008",2022,0,0,"Satın Alma",1275000,1275000,1
546080,"Renault","Megane",2020,83,8,"FILO",9e+05,0,2
546126,"Renault","Master",2013,42,9,"YETKILI SATICI",380000,373500,1
546176,"Opel","Corsa",2004,113,0,"YETKILI SATICI",275000,275000,1
546187,"Renault","Megane",2020,41,29,"RAC",798000,809000,1
546200,"Renault","Megane",2021,149,7,"FILO",8e+05,0,4
546201,"Renault","Clio",2020,41,2,"FILO",665000,660000,1
546202,"Renault","Megane",2021,88,28,"FILO",875000,870000,1
546203,"Renault","Megane",2021,35,18,"FILO",8e+05,792000,1
546204,"Renault","Megane",2021,39,18,"FILO",830000,821000,1
546208,"Renault","Master",2020,109,5,"FILO",580000,567500,3
546221,"Citroen","C-Elysee",2021,18,6,"RAC",610000,606500,1
546222,"Citroen","C-Elysee",2022,175,17,"RAC",630000,0,4
546223,"Citroen","C-Elysee",2021,27,11,"RAC",610000,610000,1
546224,"Citroen","C-Elysee",2022,184,3,"RAC",610000,596500,4
546229,"Opel","Mokka",2022,59,2,"RAC",1100000,1081000,1
546230,"Opel","Mokka",2022,46,2,"RAC",1100000,1075000,1
546231,"Opel","Mokka",2022,46,5,"RAC",1080000,1070000,1
546232,"Opel","Mokka",2022,289,8,"RAC",1110000,1072000,4
546233,"Opel","Mokka",2022,184,23,"RAC",1130000,1125300,3
546234,"Opel","Mokka",2022,137,42,"RAC",1130000,1143000,3
546235,"Opel","Mokka",2022,31,43,"RAC",1060000,1073000,1
